web-scraper-order,web-scraper-start-url,Team,Match Up,Game Date,Season,WinsLosses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,idk,+/-
"1656708354-12","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ GSW","06/02/2022","","","240","120","43","85","50.6","21","41","51.2","13","16","81.3","7","32","39","33","7","6","13","13","12"
"1656708354-2","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. GSW","06/16/2022","","","240","90","34","80","42.5","11","28","39.3","11","12","91.7","11","30","41","27","8","8","23","16","-13"
"1656708354-7","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/08/2022","","","240","100","36","78","46.2","15","40","37.5","13","15","86.7","6","25","31","22","7","5","17","23","-16"
"1656708354-45","https://www.nba.com/stats/teams/boxscores/","DAL","DAL vs. PHX","05/12/2022","","","240","113","35","77","45.5","16","39","41.0","27","36","75.0","7","32","39","18","16","4","7","23","27"
"1656708354-48","https://www.nba.com/stats/teams/boxscores/","PHI","PHI vs. MIA","05/12/2022","","","240","90","36","87","41.4","12","37","32.4","6","7","85.7","6","29","35","21","8","6","13","16","-9"
"1656708354-31","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/19/2022","","","240","127","43","84","51.2","20","40","50.0","21","23","91.3","8","33","41","28","8","5","10","21","25"
"1656708354-18","https://www.nba.com/stats/teams/boxscores/","DAL","DAL @ GSW","05/26/2022","","","240","110","37","82","45.1","17","42","40.5","19","25","76.0","6","28","34","22","6","4","8","18","-10"
"1656708354-25","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ DAL","05/22/2022","","","240","109","38","81","46.9","11","32","34.4","22","25","88.0","14","33","47","28","5","1","13","23","9"
"1656708354-50","https://www.nba.com/stats/teams/boxscores/","MEM","MEM vs. GSW","05/11/2022","","","240","134","47","99","47.5","18","41","43.9","22","30","73.3","18","37","55","37","12","4","10","17","39"
"1656708354-19","https://www.nba.com/stats/teams/boxscores/","MIA","MIA vs. BOS","05/25/2022","","","240","80","30","94","31.9","7","45","15.6","13","14","92.9","19","30","49","14","7","2","12","19","-13"
"1656708354-32","https://www.nba.com/stats/teams/boxscores/","MIA","MIA vs. BOS","05/19/2022","","","240","102","38","86","44.2","10","34","29.4","16","22","72.7","12","30","42","21","4","3","15","18","-25"
"1656708354-22","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ DAL","05/24/2022","","","240","109","41","84","48.8","10","28","35.7","17","26","65.4","6","36","42","26","5","4","8","18","-10"
"1656708354-15","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. MIA","05/27/2022","","","240","103","32","72","44.4","11","33","33.3","28","31","90.3","6","28","34","22","10","4","18","28","-8"
"1656708354-39","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. MIL","05/15/2022","","","240","109","37","88","42.0","22","55","40.0","13","18","72.2","8","40","48","29","5","7","14","19","28"
"1656708354-20","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/25/2022","","","240","93","33","71","46.5","10","33","30.3","17","23","73.9","6","40","46","24","5","7","15","19","13"
"1656708354-40","https://www.nba.com/stats/teams/boxscores/","MIL","MIL @ BOS","05/15/2022","","","240","81","33","90","36.7","4","33","12.1","11","16","68.8","11","45","56","20","5","5","13","18","-28"
"1656708354-4","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ GSW","06/13/2022","","","240","94","31","75","41.3","11","32","34.4","21","31","67.7","8","39","47","18","2","2","18","16","-10"
"1656708354-1","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/16/2022","","","240","103","38","92","41.3","19","46","41.3","8","8","100","15","29","44","27","13","7","17","20","13"
"1656708354-10","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. BOS","06/05/2022","","","240","107","39","86","45.3","15","37","40.5","14","20","70.0","6","36","42","25","15","2","12","17","19"
"1656708354-49","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ MEM","05/11/2022","","","240","95","36","80","45.0","14","39","35.9","9","13","69.2","4","33","37","22","3","5","22","23","-39"
"1656708354-5","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/10/2022","","","240","107","40","91","44.0","15","43","34.9","12","15","80.0","16","39","55","20","10","5","16","21","10"
