web-scraper-order,web-scraper-start-url,Team,Match Up,Game Date,Season,WinsLosses,MIN,PTS,FGM,FGA,FGPerc,ThreesMade,ThreesAttempted,ThreePerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PowerF,plusminus
"1656717346-58","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. GSW","06/08/2022","","W","240","116","43","89","48.3","13","35","37.1","17","24","70.8","15","32","47","28","7","7","12","17","16"
"1656717346-91","https://www.nba.com/stats/teams/boxscores/","MIL","MIL vs. BOS","05/13/2022","","L","240","95","36","88","40.9","7","29","24.1","16","18","88.9","7","42","49","15","5","3","11","25","-13"
"1656717346-62","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ GSW","06/02/2022","","W","240","120","43","85","50.6","21","41","51.2","13","16","81.3","7","32","39","33","7","6","13","13","12"
"1656717346-74","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. MIA","05/23/2022","","W","240","102","31","78","39.7","8","34","23.5","32","38","84.2","14","46","60","21","4","11","11","15","20"
"1656717346-80","https://www.nba.com/stats/teams/boxscores/","DAL","DAL @ GSW","05/20/2022","","L","240","117","37","78","47.4","21","45","46.7","22","29","75.9","4","26","30","22","7","5","12","20","-9"
"1656717346-59","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. BOS","06/05/2022","","W","240","107","39","86","45.3","15","37","40.5","14","20","70.0","6","36","42","25","15","2","12","17","19"
"1656717346-55","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/10/2022","","W","240","107","40","91","44.0","15","43","34.9","12","15","80.0","16","39","55","20","10","5","16","21","10"
"1656717346-61","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. BOS","06/02/2022","","L","240","108","39","88","44.3","19","45","42.2","11","15","73.3","12","27","39","24","8","6","14","16","-12"
"1656717346-93","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIL","05/13/2022","","W","240","108","38","87","43.7","17","43","39.5","15","23","65.2","8","34","42","22","5","7","8","17","13"
"1656717346-78","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. MIA","05/21/2022","","L","240","103","34","70","48.6","12","32","37.5","23","30","76.7","9","35","44","21","2","7","24","21","-6"
"1656717346-100","https://www.nba.com/stats/teams/boxscores/","MIL","MIL @ BOS","05/11/2022","","W","240","110","40","92","43.5","13","29","44.8","17","21","81.0","17","32","49","22","5","5","13","14","3"
"1656717346-77","https://www.nba.com/stats/teams/boxscores/","MIA","MIA @ BOS","05/21/2022","","W","240","109","43","92","46.7","11","33","33.3","12","14","85.7","8","26","34","22","19","4","9","24","6"
"1656717346-63","https://www.nba.com/stats/teams/boxscores/","MIA","MIA vs. BOS","05/29/2022","","L","240","96","37","88","42.0","6","30","20.0","16","24","66.7","7","37","44","16","4","5","10","18","-4"
"1656717346-82","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/19/2022","","W","240","127","43","84","51.2","20","40","50.0","21","23","91.3","8","33","41","28","8","5","10","21","25"
"1656717346-73","https://www.nba.com/stats/teams/boxscores/","MIA","MIA @ BOS","05/23/2022","","L","240","82","30","90","33.3","14","36","38.9","8","14","57.1","10","29","39","22","4","2","9","26","-20"
"1656717346-76","https://www.nba.com/stats/teams/boxscores/","DAL","DAL vs. GSW","05/22/2022","","L","240","100","30","75","40.0","13","45","28.9","27","34","79.4","7","26","33","18","4","2","9","18","-9"
"1656717346-86","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/17/2022","","L","240","107","36","79","45.6","11","34","32.4","24","32","75.0","8","30","38","22","8","8","16","23","-11"
"1656717346-99","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ MEM","05/11/2022","","L","240","95","36","80","45.0","14","39","35.9","9","13","69.2","4","33","37","22","3","5","22","23","-39"
"1656717346-98","https://www.nba.com/stats/teams/boxscores/","DAL","DAL vs. PHX","05/12/2022","","W","240","113","35","77","45.5","16","39","41.0","27","36","75.0","7","32","39","18","16","4","7","23","27"
"1656717346-57","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/08/2022","","L","240","100","36","78","46.2","15","40","37.5","13","15","86.7","6","25","31","22","7","5","17","23","-16"
"1656717346-89","https://www.nba.com/stats/teams/boxscores/","PHX","PHX vs. DAL","05/15/2022","","L","240","90","33","87","37.9","12","34","35.3","12","18","66.7","15","24","39","22","8","4","12","18","-33"
"1656717346-65","https://www.nba.com/stats/teams/boxscores/","MIA","MIA @ BOS","05/27/2022","","W","240","111","36","78","46.2","15","35","42.9","24","25","96.0","11","26","37","25","10","2","19","27","8"
"1656717346-75","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ DAL","05/22/2022","","W","240","109","38","81","46.9","11","32","34.4","22","25","88.0","14","33","47","28","5","1","13","23","9"
"1656717346-64","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/29/2022","","W","240","100","35","85","41.2","11","32","34.4","19","24","79.2","10","41","51","22","4","6","13","26","4"
"1656717346-96","https://www.nba.com/stats/teams/boxscores/","PHI","PHI vs. MIA","05/12/2022","","L","240","90","36","87","41.4","12","37","32.4","6","7","85.7","6","29","35","21","8","6","13","16","-9"
"1656717346-70","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ MIA","05/25/2022","","W","240","93","33","71","46.5","10","33","30.3","17","23","73.9","6","40","46","24","5","7","15","19","13"
"1656717346-95","https://www.nba.com/stats/teams/boxscores/","MIA","MIA @ PHI","05/12/2022","","W","240","99","42","87","48.3","7","28","25.0","8","11","72.7","13","36","49","19","7","6","16","12","9"
"1656717346-85","https://www.nba.com/stats/teams/boxscores/","MIA","MIA vs. BOS","05/17/2022","","W","240","118","39","80","48.8","10","30","33.3","30","34","88.2","9","30","39","18","10","12","13","24","11"
"1656717346-54","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ GSW","06/13/2022","","L","240","94","31","75","41.3","11","32","34.4","21","31","67.7","8","39","47","18","2","2","18","16","-10"
"1656717346-87","https://www.nba.com/stats/teams/boxscores/","MIL","MIL @ BOS","05/15/2022","","L","240","81","33","90","36.7","4","33","12.1","11","16","68.8","11","45","56","20","5","5","13","18","-28"
"1656717346-81","https://www.nba.com/stats/teams/boxscores/","MIA","MIA vs. BOS","05/19/2022","","L","240","102","38","86","44.2","10","34","29.4","16","22","72.7","12","30","42","21","4","3","15","18","-25"
"1656717346-52","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. GSW","06/16/2022","","L","240","90","34","80","42.5","11","28","39.3","11","12","91.7","11","30","41","27","8","8","23","16","-13"
"1656717346-51","https://www.nba.com/stats/teams/boxscores/","GSW","GSW @ BOS","06/16/2022","","W","240","103","38","92","41.3","19","46","41.3","8","8","100","15","29","44","27","13","7","17","20","13"
"1656717346-88","https://www.nba.com/stats/teams/boxscores/","DAL","DAL @ PHX","05/15/2022","","W","240","123","46","81","56.8","19","39","48.7","12","12","100","6","37","43","14","9","6","12","17","33"
"1656717346-94","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. MEM","05/13/2022","","W","240","110","41","104","39.4","20","53","37.7","8","11","72.7","25","45","70","24","3","10","19","17","14"
"1656717346-53","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. BOS","06/13/2022","","W","240","104","41","88","46.6","9","40","22.5","13","15","86.7","4","35","39","23","9","2","7","28","10"
"1656717346-60","https://www.nba.com/stats/teams/boxscores/","BOS","BOS @ GSW","06/05/2022","","L","240","88","30","80","37.5","15","37","40.5","13","17","76.5","6","37","43","24","5","7","19","18","-19"
"1656717346-83","https://www.nba.com/stats/teams/boxscores/","GSW","GSW vs. DAL","05/18/2022","","W","240","112","46","82","56.1","10","29","34.5","10","16","62.5","7","44","51","24","8","7","15","22","25"
"1656717346-66","https://www.nba.com/stats/teams/boxscores/","BOS","BOS vs. MIA","05/27/2022","","L","240","103","32","72","44.4","11","33","33.3","28","31","90.3","6","28","34","22","10","4","18","28","-8"
